sample_id,polarity,path,features,total_peaks,mean_peaks_per_feature
VGF139_G08,neg,.cache/extracted/pf1600_raw/VGF139_G08/neg/VGF139_G08_features_ms2_neg.mgf,324,9822,30.314815
VGF139_G08,pos,.cache/extracted/pf1600_raw/VGF139_G08/pos/VGF139_G08_features_ms2_pos.mgf,470,23433,49.857447
VGF139_G09,neg,.cache/extracted/pf1600_raw/VGF139_G09/neg/VGF139_G09_features_ms2_neg.mgf,332,10024,30.192771
VGF139_G09,pos,.cache/extracted/pf1600_raw/VGF139_G09/pos/VGF139_G09_features_ms2_pos.mgf,470,23340,49.659574
VGF139_G10,neg,.cache/extracted/pf1600_raw/VGF139_G10/neg/VGF139_G10_features_ms2_neg.mgf,192,5302,27.614583
VGF139_G10,pos,.cache/extracted/pf1600_raw/VGF139_G10/pos/VGF139_G10_features_ms2_pos.mgf,474,27549,58.120253
VGF139_G11,neg,.cache/extracted/pf1600_raw/VGF139_G11/neg/VGF139_G11_features_ms2_neg.mgf,321,9896,30.828660
VGF139_G11,pos,.cache/extracted/pf1600_raw/VGF139_G11/pos/VGF139_G11_features_ms2_pos.mgf,526,27640,52.547529
VGF139_G12,neg,.cache/extracted/pf1600_raw/VGF139_G12/neg/VGF139_G12_features_ms2_neg.mgf,9,239,26.555556
VGF139_G12,pos,.cache/extracted/pf1600_raw/VGF139_G12/pos/VGF139_G12_features_ms2_pos.mgf,44,1593,36.204545
VGF139_H01,neg,.cache/extracted/pf1600_raw/VGF139_H01/neg/VGF139_H01_features_ms2_neg.mgf,1015,29721,29.281773
VGF139_H01,pos,.cache/extracted/pf1600_raw/VGF139_H01/pos/VGF139_H01_features_ms2_pos.mgf,987,48351,48.987842
VGF139_H02,neg,.cache/extracted/pf1600_raw/VGF139_H02/neg/VGF139_H02_features_ms2_neg.mgf,255,6993,27.423529
VGF139_H02,pos,.cache/extracted/pf1600_raw/VGF139_H02/pos/VGF139_H02_features_ms2_pos.mgf,347,17893,51.564841
VGF139_H03,neg,.cache/extracted/pf1600_raw/VGF139_H03/neg/VGF139_H03_features_ms2_neg.mgf,91,2380,26.153846
VGF139_H03,pos,.cache/extracted/pf1600_raw/VGF139_H03/pos/VGF139_H03_features_ms2_pos.mgf,253,12849,50.786561
VGF139_H04,neg,.cache/extracted/pf1600_raw/VGF139_H04/neg/VGF139_H04_features_ms2_neg.mgf,301,9278,30.823920
VGF139_H04,pos,.cache/extracted/pf1600_raw/VGF139_H04/pos/VGF139_H04_features_ms2_pos.mgf,417,20845,49.988010
VGF139_H05,neg,.cache/extracted/pf1600_raw/VGF139_H05/neg/VGF139_H05_features_ms2_neg.mgf,148,3899,26.344595
VGF139_H05,pos,.cache/extracted/pf1600_raw/VGF139_H05/pos/VGF139_H05_features_ms2_pos.mgf,293,16670,56.894198
VGF139_H06,neg,.cache/extracted/pf1600_raw/VGF139_H06/neg/VGF139_H06_features_ms2_neg.mgf,167,4550,27.245509
VGF139_H06,pos,.cache/extracted/pf1600_raw/VGF139_H06/pos/VGF139_H06_features_ms2_pos.mgf,388,18918,48.757732
VGF139_H07,neg,.cache/extracted/pf1600_raw/VGF139_H07/neg/VGF139_H07_features_ms2_neg.mgf,345,12149,35.214493
VGF139_H07,pos,.cache/extracted/pf1600_raw/VGF139_H07/pos/VGF139_H07_features_ms2_pos.mgf,628,28083,44.718153
VGF139_H08,neg,.cache/extracted/pf1600_raw/VGF139_H08/neg/VGF139_H08_features_ms2_neg.mgf,322,8517,26.450311
VGF139_H08,pos,.cache/extracted/pf1600_raw/VGF139_H08/pos/VGF139_H08_features_ms2_pos.mgf,446,23000,51.569507
VGF139_H09,neg,.cache/extracted/pf1600_raw/VGF139_H09/neg/VGF139_H09_features_ms2_neg.mgf,318,10172,31.987421
